"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Regulator Topology,Voltage - Output,Current - Output,Voltage - Dropout (Typical),Number of Regulators,Voltage - Input,Current - Limit (Min),Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
http://www.analog.com/static/imported-files/data_sheets/ADP124_125.pdf,http://media.digikey.com/Renders/Analog%20Devices%20Renders/8LFCSP.jpg,ADP124ACPZ-3.3-R7CT-ND,ADP124ACPZ-3.3-R7,Analog Devices Inc,IC REG LDO 3.3V 0.5A 8LFCSP,2764,0,1.44,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.13V @ 500mA,1,Up to 5.5V,550mA,-40Â°C ~ 85Â°C,Surface Mount,"8-UFDFN Exposed Pad, CSP",8-LFCSP-UD (2x2)
http://www.ams.com/eng/content/download/12507/219217,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,AS1363-BSTT-33CT-ND,AS1363-BSTT-33,ams,IC REG LDO 3.3V 0.5A SOT23-6,2745,0,1.63,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.15V @ 500mA,1,Up to 5.5V,-,-40Â°C ~ 85Â°C,Surface Mount,SOT-23-6,SOT-23-6
http://www.analog.com/static/imported-files/data_sheets/ADP124_125.pdf,http://media.digikey.com/Renders/Analog%20Devices%20Renders/8-MSOP%20RH8-1%20Exp.jpg,ADP124ARHZ-3.3-R7CT-ND,ADP124ARHZ-3.3-R7,Analog Devices Inc,IC REG LDO 3.3V 0.5A 8MSOP,4639,19000,2.06,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.13V @ 500mA,1,Up to 5.5V,550mA,-40Â°C ~ 85Â°C,Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad",8-MSOP-EP
http://www.analog.com/static/imported-files/data_sheets/ADP1715_1716.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,ADP1715ARMZ-3.3-R7CT-ND,ADP1715ARMZ-3.3-R7,Analog Devices Inc,IC REG LDO 3.3V 0.5A 8MSOP,1121,0,2.52,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.25V @ 500mA,1,Up to 5.5V,550mA,-40Â°C ~ 125Â°C,Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",8-MSOP
http://www.analog.com/static/imported-files/data_sheets/ADP1715_1716.pdf,http://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,ADP1716ARMZ-3.3-R7CT-ND,ADP1716ARMZ-3.3-R7,Analog Devices Inc,IC REG LDO 3.3V 0.5A 8MSOP,509,0,2.94,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.25V @ 500mA,1,Up to 5.5V,550mA,-40Â°C ~ 125Â°C,Surface Mount,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",8-MSOP
http://www.micrel.com/_PDF/MIC5319.pdf,http://media.digikey.com/Renders/Micrel%20Renders/TSOT-23-5.jpg,576-1910-1-ND,MIC5319-3.3YD5 TR,Micrel Inc,IC REG LDO 3.3V 0.5A TSOT23-5,8909,0,3,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.2V @ 500mA,1,Up to 5.5V,600mA,-40Â°C ~ 125Â°C,Surface Mount,"SOT-23-5 Thin, TSOT-23-5",TSOT-23-5
http://www.ti.com/lit/ds/symlink/tps79533.pdf,http://media.digikey.com/photos/Texas%20Instr%20Photos/296-SOT-223-5.jpg,296-27106-5-ND,TPS79533DCQ,Texas Instruments,IC REG LDO 3.3V 0.5A SOT223-6,105,9984,3.02,0,1,Tube,-,Positive Fixed,3.3V,500mA,0.105V @ 500mA,1,Up to 5.5V,2.4A,-40Â°C ~ 125Â°C,Surface Mount,SOT-223-6,SOT-223-6
http://www.micrel.com/_PDF/MIC5319.pdf,http://media.digikey.com/photos/Micrel%20Photos/576-6-MLF.jpg,576-2867-1-ND,MIC5319-3.3YML TR,Micrel Inc,IC REG LDO 3.3V 0.5A 6MLF,9975,0,3.18,0,1,Cut Tape (CT),-,Positive Fixed,3.3V,500mA,0.2V @ 500mA,1,Up to 5.5V,600mA,-40Â°C ~ 125Â°C,Surface Mount,"6-VQFN Exposed Pad, 6-MLFÂ®",6-MLFÂ® (2x2)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
http://www.digikey.com/product-search/en?FV=fff40027%2Cfff80182%2C1c0002%2C1c0006%2Cc00016%2C1140003%2C1fc11c3%2C204003c&k=LDO&mnonly=0&newproducts=0&ColumnSort=1000011&page=1&stock=1&pbfree=0&rohs=0&quantity=&ptm=0&fid=0&pageSize=500,,,,,,,,,,,,,,,,,,,,,,,
